scene_id,im_id,obj_id,score,R,t,time
2,249,1,1,0.9999999457285009 -0.0002303653165682401 0.0002355309242497161 0.0002303546238406895 0.9999999724366796 4.5424521663011905e-05 -0.0002355413819919161 -4.5370263560419455e-05 0.9999999712308976,-0.19196874291210975 -0.06753121058498834 0.04330584689637362,5
2,254,1,1,0.9999999928869533 5.5562995195851395e-05 0.0001055407369578154 -5.5560037508811666e-05 0.9999999980637895 -2.80268514887827e-05 -0.00010554229400960846 2.8020987442312073e-05 0.9999999940378249,-0.10127239750494255 0.03806829469564832 0.023045391539199045,5
2,263,1,1,0.9999996919106409 0.0006768857899664971 -0.0003974974855581459 -0.0006771030728077165 0.9999996212994853 -0.0005467470307384814 0.00039712724972984503 0.0005470160090604859 0.9999997715316911,0.31488514343152474 0.5276188003907762 -0.11513723198333992,5
2,266,1,1,0.9999999952881419 6.31387334450173e-05 7.37374875850183e-05 -6.3134493857947e-05 0.999999996354089 -5.7496593661741924e-05 -7.374111757826873e-05 5.7491938011640376e-05 0.9999999956284628,-0.10162100237721461 0.03991780811965384 -0.02647533984270467,5
2,268,1,1,0.9999999848607213 -8.264967732467265e-05 0.00015312605420061964 8.26591893360179e-05 0.9999999946546829 -6.211354100608621e-05 -0.0001531209197176142 6.212619734116687e-05 0.9999999863471593,-0.12010342116735728 0.027063829824044205 -0.01210297382851877,5
2,277,1,1,0.9999999151432735 0.00011290125816720842 0.0003961902970427422 -0.00011298480867621974 0.9999999713844013 0.0002108687488962535 -0.0003961664783587171 -0.00021091349448762453 0.9999998992838043,-0.2773987886467779 -0.14237634075436745 0.052116959764816784,5
2,283,1,1,0.9999999988390538 5.826452547652572e-06 4.7832467996195005e-05 -5.828613564629048e-06 0.9999999989624493 4.517886393465287e-05 -4.7832204714021165e-05 -4.5179142679263595e-05 0.9999999978354632,-0.06450566197193552 -0.02231070178373784 0.006961579679455099,5
2,307,1,1,0.9999998859654118 -0.00046764617631828154 9.683086660911e-05 0.00046760216057761816 0.9999997875761804 0.00045408789277065487 -9.704319850711851e-05 -0.0004540425626665956 0.9999998922139789,-0.05751533306630563 -0.3438727074572725 -0.007945902596929955,5
2,310,1,1,0.9999999572214131 0.00021371749683532504 -0.00019970479205260426 -0.0002136901033424482 0.9999999677589282 0.00013718120368182211 0.00019973410363734265 -0.00013713852287619246 0.9999999706496564,0.12866510022641364 -0.11733764512855949 -0.017603676071303198,5
2,322,1,1,0.9999998674164869 0.0001555693415124515 -0.0004908820531183689 -0.00015564952814317579 0.9999999745502014 -0.00016331816015982548 0.0004908566333265973 0.00016339454406635867 0.9999998661809859,0.3732892137226713 0.11663849058223263 -0.025797623969651795,5
2,326,1,1,0.9999993740600761 0.0004342872356558891 -0.001031151809729125 -0.00043437690809228213 0.9999999018963451 -8.674100841962046e-05 0.0010311140380562245 8.718886265984133e-05 0.9999994646008287,0.6767684120775215 0.10138095281658366 -0.09058422862960924,5
2,338,1,1,0.9999999285519392 -0.0001229873852096608 0.00035744960266642645 0.00012300725428232573 0.9999999908909167 -5.556420847591115e-05 -0.0003574427657138668 5.560817340022339e-05 0.9999999345711972,-0.24460390610468608 0.04835365223431154 -0.07515526097040492,5
2,342,1,1,0.9999996089768842 0.0008839344616866085 2.656964595689447e-05 -0.0008839340491372527 0.9999996092095561 -1.5534824638424594e-05 -2.65833673405505e-05 1.5511332749212903e-05 0.9999999995263612,0.05563569172272764 -0.15778364151351099 0.009757162267760577,5
2,365,1,1,0.9999993045205477 -0.00028558388738988104 0.0011442902880715797 0.00028579012133277603 0.999999942949537 -0.00018006923302499311 -0.0011442387979177463 0.00018039613465048454 0.9999993290871793,-0.8064652495255729 0.06829663559578592 0.1506795861585033,5
2,368,1,1,0.9999998994661807 0.0004251366979717841 -0.00014257074569701267 -0.00042511309393977736 0.9999998959360905 0.0001655495925822481 0.00014264111206768737 -0.00016548896724860596 0.9999999761334579,0.1505156759355657 -0.030709158100037826 -0.06093895704543684,5
2,387,1,1,0.9999998851552813 0.00035914387535798675 -0.00031734067292282786 -0.0003590299421113996 0.9999998711049782 0.00035900909339436904 0.00031746956793576864 -0.0003588951173610355 0.999999885203678,0.23990395345441584 -0.35568526882420315 0.11306220770165964,5
2,402,1,1,0.9999997656913079 0.0006845522390586667 -2.3582137306243922e-06 -0.0006845531418321893 0.9999996829323063 -0.0004068442982124998 2.0797068074340785e-06 0.0004068458172078182 0.9999999172360744,-0.02817797146826706 0.5562965857440503 -0.029656206957156428,5
2,415,1,1,0.9999999930072432 -8.99033182845399e-05 -7.683038884963474e-05 8.987554110251664e-05 0.999999930632353 -0.0003614660100926259 7.68628805135705e-05 0.00036145910239238077 0.9999999317197051,0.08060621537066481 0.29980476334899997 -0.0013753867676769005,5
2,417,1,1,0.9999999913255448 -0.00012966557982896365 2.314621566991415e-05 0.00012966957849341876 0.9999999766562555 -0.00017283890774233424 -2.312380387249624e-05 0.00017284190760315232 0.9999999847954819,-0.01201690607723549 0.08708574202464092 0.011664581131640261,5
2,425,1,1,0.9999997669660838 -0.0006038048593135469 0.0003185709840402909 0.0006048455108932926 0.9999944486737703 -0.0032767031527418666 -0.00031659072626247925 0.003276895075388475 0.9999945808498055,-0.4460298536536129 3.2088088786097444 0.5741947861529297,5
2,428,1,1,0.9999999701883588 3.4499242658248e-05 0.00024172936063032724 -3.445976874799639e-05 0.9999999860727824 -0.0001633002145672302 -0.0002417349909978883 0.00016329187976099613 0.9999999574499772,-0.21616541528572952 0.16970644701470405 0.0036338779893867468,5
2,434,1,1,0.9999978447868119 -0.002074994095344229 6.943513103324639e-05 0.002074955366747344 0.9999976942257955 0.0005532660477713669 -7.058299471407459e-05 -0.0005531207805676425 0.9999998445377102,-0.13084774182124193 -1.2649555452970969 0.011197978934092134,5
2,435,1,1,0.9999996894613088 0.0007812141248132488 -0.00010383533930829851 -0.0007812571637595203 0.9999996086645278 -0.0004151000289763229 0.00010351101666792803 0.00041518102217497077 0.9999999084550897,0.18595116483334095 0.5724843642775035 0.03422312884595158,5
2,442,1,1,0.9999991943254118 -0.0008613805149472742 0.0009324012737894349 0.0008608948009524581 0.9999994936030688 0.0005212041305319159 -0.0009328497567066413 -0.0005204010112019319 0.9999994294868961,-0.8153905316498538 -0.672578313299141 0.28544724882488026,5
2,446,1,1,0.9999998977434612 0.00039353921709256445 -0.00022280025109794321 -0.0003936321645556795 0.9999998354620347 -0.00041728841614380174 0.00022263599508215437 0.00041737607481832917 0.9999998881152066,0.19584041761294202 0.40300994200887175 0.06302349753707404,5
2,453,1,1,0.9999999968950116 7.26422426040596e-05 3.054640390842689e-05 -7.263989696099094e-05 0.9999999944138626 -7.67836006390632e-05 -3.055198147028371e-05 7.678138151301361e-05 0.9999999965855983,0.017050330715392192 0.11368061260581896 -0.07911424699796044,5
2,473,1,1,0.9999997800863959 -0.0001329266878009605 0.000649736606428683 0.0001330647164891896 0.9999999685901597 -0.00021239930039219923 -0.0006497083524850678 0.00021248571070037713 0.9999997663644129,-0.7302620091085714 0.22564292981655498 -0.005194192011458654,5
2,474,1,1,0.9999999688119734 0.0001802295475064053 -0.00017289697137073956 -0.0001802438159962949 0.999999980351809 -8.251393643207705e-05 0.00017288209652391306 8.254509746882799e-05 0.999999981649044,0.16423248581077132 0.08004958728177769 -0.01922916988689849,5
2,476,1,1,0.9999999761548628 6.0743418059977516e-05 0.0002097629860781658 -6.077370649124059e-05 0.999999987729007 0.00014439023951798302 -0.0002097542127478258 -0.00014440298414897246 0.9999999675754737,-0.2145458595183527 -0.1309077287853313 0.04694728442655105,5
2,477,1,1,0.9999992227079265 5.360174961360764e-05 -0.0012456766812589115 -5.3981216101423035e-05 0.9999999521539061 -0.0003045951642425826 0.0012456602948243134 0.00030466217062530276 0.9999991777553576,1.367621294733027 0.3106192479823733 -0.22943984907556114,5
2,480,1,1,0.9999972998363634 -0.0015296185859016292 0.0017494533330967288 0.0015285027731419543 0.9999986277000387 0.0006389658134991101 -0.0017504283063060622 -0.0006362900439161011 0.9999982655663587,-2.269774951995572 -0.874003341187688 -0.030780562794689104,5
2,491,1,1,0.9999999737454105 -0.00014453183880495934 -0.00017781936121069597 0.00014450273396059143 0.9999999761641656 -0.00016367842757833428 0.0001778430137166498 0.00016365272789703456 0.9999999707948226,0.27048666003696553 0.16564749805026224 0.0254120128820432,5
2,501,1,1,0.9999999379797222 -6.438821190690724e-05 0.00034625815595183684 6.429935880403193e-05 0.9999999650073141 0.0002566144250604925 -0.00034627466677931984 -0.00025659214496787444 0.9999999071271589,-0.32182322205198943 -0.2382595793932083 0.07418879770330022,5
2,521,1,1,0.9999995164905298 -0.0009112364826296682 -0.00036968470195761563 0.0009112384127958895 0.9999995848094264 5.052712905573298e-06 0.0003696799442515636 -5.389581363757223e-06 0.9999999316538432,0.1919389392433004 -0.19706855879996965 -0.10082402903617549,5
2,527,1,1,0.9999999771786965 0.00018152347802324886 -0.00011265803700605259 -0.0001815660483477921 0.9999999120835993 -0.0003779769345252926 0.0001125894154141438 0.00037799738077382017 0.9999999222207991,0.1372635933601316 0.42691289210331096 -0.024945875288040043,5
2,529,1,1,0.9999999980229495 -5.247352402726335e-05 3.46501261622445e-05 5.248191387480228e-05 0.9999999692987325 -0.00024217387124403356 -3.4637417382077373e-05 0.00024217568927001332 0.9999999700755924,-0.053649671362592244 0.22585483557227093 0.003492718935603989,5
2,532,1,1,0.9999999369005836 0.0002780989910027287 0.00022104248275461869 -0.0002781138978380504 0.9999999590542135 6.741090348574841e-05 -0.0002210237267998294 -6.747237421844687e-05 0.9999999732979947,-0.15346475004452031 -0.014078819628224437 0.00963507211997694,5
2,535,1,1,0.9999995336287675 -0.0008706167684419674 0.00041805345455567244 0.0008705893344961857 0.9999996188721765 6.580054989676482e-05 -0.0004181105822858022 -6.543656633050537e-05 0.9999999104507943,-0.5441736865627718 -0.21184777124662446 0.04507310213625715,5
2,540,1,1,0.9999999858167308 0.00013937135222397146 9.456301758262176e-05 -0.00013937681078290964 0.9999999886212587 5.771990073127897e-05 -9.455497200591689e-05 -5.77330798045006e-05 0.9999999938631242,-0.09433283554943728 -0.0859764563225438 0.009402480502330945,5
2,549,1,1,0.9999999155096936 0.0004094005139784196 3.703816954506167e-05 -0.0004094098064031382 0.9999998846337791 0.00025122905920779703 -3.693531196594102e-05 -0.00025124420177113915 0.9999999677560667,-0.02899972449387178 -0.08398118842639946 0.006627563667848335,5
2,560,1,1,0.9999999908175913 -2.9168529486200967e-06 -0.00013548546046059096 2.9270852028862038e-06 0.9999999971438731 7.552275993417262e-05 0.00013548523978476612 -7.552315581803651e-05 0.9999999879700019,0.07674672722288278 -0.08324640212016732 -0.015006296602223301,5
2,563,1,1,0.9999997194430439 0.00019752958968377587 -0.0007225620358889129 -0.0001982516480117935 0.9999994809800122 -0.0009993677956264546 0.0007223642561537125 0.000999510764361805 0.9999992395837677,0.6327091263086402 0.8559469783413718 0.05190677561540724,5
2,571,1,1,0.9999999550610956 -2.5186935205867567e-05 -0.00029873637958166555 2.5223117263051265e-05 0.9999999923476133 0.00012111386115615241 0.00029873332680840914 -0.00012112139077602446 0.9999999480440025,0.24572236843644646 -0.13791707913134132 -0.02777669831368712,5
2,575,1,1,0.9999997393957679 -0.0006797052765940993 -0.0002433292723327679 0.0006798131841041395 0.9999996705119849 0.0004436552230711444 0.00024302763736250288 -0.00044382052590034664 0.9999998719804459,0.24545536403610413 -0.4496998792890281 0.08071436432226164,5
2,589,1,1,0.9999999999035921 6.04356902678127e-06 -1.2501638884582222e-05 -6.043460541449441e-06 0.9999999999440872 8.677700404274846e-06 1.2501691328214992e-05 -8.677624850100818e-06 0.9999999998842034,0.0002459135070580487 -0.03265398342774084 0.004468781583796044,5
2,603,1,1,0.9999992960549193 -0.0005085069828091593 0.0010720589144677106 0.0005082251782674574 0.9999998362377763 0.0002631189637253839 -0.0010721925367355167 -0.00026257393117196104 0.9999993907288626,-0.8852857083311818 -0.28991125839077725 0.07781404154104621,5
2,607,1,1,0.9999999784496457 -0.00018734031158483544 8.946684620522727e-05 0.00018733743991693197 0.9999999819369804 3.2104861987014566e-05 -8.947285912397351e-05 -3.2088100805571784e-05 0.9999999954824803,-0.047241894635632775 -0.02973878820903586 -0.006347608454120746,5
2,615,1,1,0.9999999537044107 0.00014718284095721623 -0.00026632384038832724 -0.00014726940297005164 0.9999999363319887 -0.00032503498670097275 0.00026627598385942086 0.0003250741930061196 0.9999999117119309,0.22527991856401286 0.2582903023904919 0.03196415577974676,5
2,625,1,1,0.9999997287033334 0.00048510390020589655 -0.0005543171160090447 -0.0004849554757136443 0.999999846533514 0.00026786402171046116 0.0005544469728216289 -0.00026759512991914557 0.9999998104906823,0.5210291092189863 -0.2667189055736756 0.014943410261821555,5
2,642,1,1,0.9999999996561533 -2.5981102181715787e-05 3.560386125825432e-06 2.5980259155844454e-05 0.9999999716786048 0.00023657518123719468 -3.566532508519904e-06 -0.00023657508865640442 0.9999999720097537,-0.04597836894672014 -0.23028587819726454 -0.041706902643568355,5
2,648,1,1,0.9999999410118712 0.0003434540547901932 -3.945563188369194e-06 -0.00034345163171189963 0.9999997618979379 0.0005985357505055508 4.151131779379924e-06 -0.0005985343600889148 0.9999998208696779,-0.00026583202009078377 -0.4801616328387013 -0.10617411697467105,5
2,649,1,1,0.9999999734315055 -8.124636775819205e-05 -0.0002157220816766947 8.122710562336044e-05 0.9999999927139505 -8.929869579349381e-05 0.0002157293352993972 8.928117094059163e-05 0.9999999727448629,0.163600799112686 0.0552743505727733 -0.0299169102745509,5
2,652,1,1,0.9999999838499437 -0.00017870607154135687 1.908540054244845e-05 0.0001787026559560423 0.9999999680452306 0.0001788152639170537 -1.9117355306033645e-05 -0.00017881185041712655 0.999999983830425,-0.03566248842517439 -0.20348337693334173 -0.015794151707382298,5
2,667,1,1,0.9999998477572625 -2.5248649804243684e-06 0.0005517962279774635 2.5324665269277347e-06 0.9999999999019138 -1.377530414220507e-05 -0.0005517961931422732 1.3776699450435137e-05 0.9999998476655706,-0.3506070454420751 -0.02424421920418851 0.06253775148400109,5
2,669,1,1,0.9999999547317167 -0.0001982057176048435 -0.00022638696668603187 0.00019825731844005934 0.9999999543704476 0.00022793231103218625 0.00022634177886871054 -0.00022797718358680275 0.9999999483979,0.1379156948791973 -0.18401653683046604 -0.011878585367867345,5
2,679,1,1,0.9192389641995521 0.09860974132282373 -0.38115068622997444 -0.06550681486803114 0.9929385811538982 0.09890314080922688 0.3882120347222381 -0.06594765327386623 0.9192074429227007,289.84841790706196 -88.94062385065703 -52.29929646837295,5
2,691,1,1,0.999999897093856 0.00045165620564993625 -4.2649147381702834e-05 -0.0004516542525157541 0.9999998969556713 4.5793922331560655e-05 4.266982609608949e-05 -4.5774654950037075e-05 0.9999999980419836,0.04332081764925988 0.03809324503211542 -0.027165768781969746,5
2,695,1,1,0.9999999480312143 0.00032160254770840363 -2.2569206544365006e-05 -0.00032159648597496204 0.9999999123555121 0.00026807586193525884 2.2655418446648756e-05 -0.0002680685898255007 0.9999999638129808,0.018456690908607243 -0.18512872230181188 -0.03631102494921379,5
2,703,1,1,0.9999999264304651 8.757556037680692e-05 0.00037345627034815476 -8.774973104919148e-05 0.9999998873929076 0.00046638413073594315 -0.0003734153844428961 -0.0004664168671114216 0.999999821508112,-0.3761481891003484 -0.42216067536392643 0.13528087533438793,5
2,708,1,1,0.9999997763713644 0.0003491441224097967 -0.0005703995123081951 -0.0003492351189585616 0.9999999263069459 -0.00015943944028076057 0.000570343802930251 0.00015963860816757547 0.999999824611715,0.5198832701428842 0.20657734092304736 -0.11387866395887158,5
2,711,1,1,0.9999999010420659 0.00024486257391941046 0.00037142721716655613 -0.0002446239375411049 0.9999997637443039 -0.0006423943226057938 -0.00037158442774209294 0.0006423033990475002 0.9999997246856402,-0.37653667584854134 0.6009342226447529 -0.09085637347993725,5
2,727,1,1,0.9999999547028373 -1.6897120212799877e-05 0.00030051424236152147 1.6953630706861844e-05 0.999999982175934 -0.0001880444239862264 -0.000300511059595894 0.00018804951027583117 0.9999999371652405,-0.29377388518199155 0.1380229027542157 -0.030140771053766002,5
2,736,1,1,0.9999997318919158 0.0003154153910004398 -0.000660854921363363 -0.0003156694937249127 0.9999998762804565 -0.0003844370460006005 0.0006607335822414045 0.00038464555466825867 0.999999707739423,0.5350462690577729 0.33586713319135697 -0.005402150543091011,5
2,737,1,1,0.9999999431453532 0.00023356310613770193 -0.00024322328245834912 -0.0002335774880553032 0.9999999709741495 -5.91037850374565e-05 0.00024320947093514622 5.916059316060651e-05 0.9999999686745885,0.19235100915518366 0.05423464270248246 0.0526416993144494,5
2,739,1,1,0.9999989765652703 -6.001388260182261e-05 -0.0014294288179819356 5.988961019345873e-05 0.9999999944237568 -8.698115303633173e-05 0.0014294340300878075 8.689545608208879e-05 0.9999989745832405,1.3597655336014753 0.1007133168451162 0.07495363616942541,5
2,740,1,1,0.9999998515031858 2.6286518697793415e-05 0.0005443368662676473 -2.6502037286324498e-05 0.9999999212704065 0.00039592527297574454 -0.0005443264159151751 -0.0003959396402180848 0.999999773470251,-0.5581432809951465 -0.39076481789328454 0.06277052553343765,5
2,750,1,1,0.99999971180653 0.00023648198235475676 -0.0007214313063077515 -0.00023664421054280307 0.9999999467338503 -0.00022479282987327917 0.0007213781084260962 0.00022496348763158952 0.9999997145024863,0.6052678766826887 0.2356615802458819 -0.15401634738452685,5
2,754,1,1,0.9999999571349346 -0.00017201163095195704 0.00023694330126267094 0.00017197024001239236 0.9999999699537011 0.00017469640509934492 -0.0002369733439570032 -0.0001746556504150787 0.9999999566695187,-0.23579642756652675 -0.1886019722026262 0.022694367496455925,5
2,756,1,1,0.9999999893608762 0.00012504769865304133 -7.510872584226558e-05 -0.00012504160096965533 0.999999988886881 8.11839648199586e-05 7.511887687566832e-05 -8.117457224088298e-05 0.9999999938839217,0.049417269239796724 -0.0657218398281536 -0.04591731946970867,5
2,757,1,1,0.9999999985352019 4.2717332769393046e-05 3.3238923505367335e-05 -4.271651670262333e-05 0.9999999987862527 -2.455187197454231e-05 -3.323997225562758e-05 2.4550452087605118e-05 0.99999999914619,-0.08008646894447224 -0.008009893586184091 0.002140417922760207,5
2,758,1,1,0.9999997011673146 -0.0005210891626616365 0.0005710791250142788 0.0005210032493665195 0.9999998529408229 0.00015057870864663286 -0.0005711575059647866 -0.00015028112956894102 0.9999998255973279,-0.6109503759184065 -0.25150967701031135 0.08583529671238921,5
2,761,1,1,0.999999993763619 -7.912920357042164e-05 7.881200110723685e-05 7.91325017107658e-05 0.9999999959934818 -4.1845956440633714e-05 -7.880868955402465e-05 4.185219276997554e-05 0.9999999960187929,-0.07629869993792227 0.008601858898430237 0.02112467247945915,5
2,762,1,1,0.999999689308723 -0.00040914961823179663 0.0006737796732972645 0.00040879758758988194 0.9999997799253686 0.0005225263123895818 -0.0006739933164565393 -0.0005222507105403784 0.9999996364935368,-0.7019710927929736 -0.37765689926213497 -0.24938358833583152,5
2,764,1,1,0.9999999146500078 4.358804825531029e-05 -0.000410852843113263 -4.357658456972653e-05 0.9999999986610263 2.7911079567177443e-05 0.00041085405915253226 -2.7893173621329497e-05 0.9999999152104528,0.33642161264825177 -0.03524615873919856 0.06900793380964387,5
2,768,1,1,0.9999999994044799 2.942427753876986e-05 1.8034766051800225e-05 -2.9422915570453956e-05 0.9999999967159134 -7.55146681348795e-05 -1.8036987957072842e-05 7.55141374545118e-05 0.9999999969861411,-0.029638019717282305 0.05888220970118141 -0.006366384394141278,5
2,769,1,1,0.9999999459481367 -0.0002679669585616967 -0.00019051885268356328 0.000267953790692263 0.9999999617103507 -6.913800004477999e-05 0.00019053737208823973 6.90869460590049e-05 0.9999999794612521,0.21633931523987826 0.11405800902520014 0.029494609560174467,5
2,770,1,1,0.9999999892223673 0.00012618722210000488 7.504699438392118e-05 -0.0001261957183692486 0.9999999856280847 0.00011321868944758062 -7.503270655345035e-05 -0.00011322815883674231 0.9999999907747387,-0.07576215115417995 -0.10331943884946782 -0.005155497255486807,5
2,773,1,1,0.9999999529030055 0.00030675688595643846 9.705651041080898e-06 -0.00030675724601525456 0.9999999522611162 3.711815986650463e-05 -9.694264326495783e-06 -3.712113539711126e-05 0.9999999992640216,-0.05336475922911177 -0.1541567295726054 -0.009947501327246755,5
